step,name,x,y
103,Earth,1.49568e+11,3.0969e+09
103,Mars,2.27886e+11,2.50396e+09
104,Sun,103.678,0.700686
104,Earth,1.49567e+11,3.12667e+09
104,Mars,2.27886e+11,2.52803e+09
105,Sun,105.653,0.720898
105,Earth,1.49566e+11,3.15645e+09
105,Mars,2.27886e+11,2.55211e+09
106,Sun,107.647,0.741495
106,Earth,1.49566e+11,3.18622e+09
106,Mars,2.27885e+11,2.57618e+09
107,Sun,109.659,0.76248
107,Earth,1.49565e+11,3.21599e+09
107,Mars,2.27885e+11,2.60026e+09
108,Sun,111.689,0.783858
108,Earth,1.49564e+11,3.24577e+09
108,Mars,2.27885e+11,2.62433e+09
109,Sun,113.739,0.805632
109,Earth,1.49564e+11,3.27554e+09
109,Mars,2.27884e+11,2.64841e+09
110,Sun,115.806,0.827805
110,Earth,1.49563e+11,3.30531e+09
110,Mars,2.27884e+11,2.67249e+09
111,Sun,117.893,0.850381
111,Earth,1.49562e+11,3.33508e+09
111,Mars,2.27884e+11,2.69656e+09
112,Sun,119.998,0.873364
112,Earth,1.49562e+11,3.36486e+09
112,Mars,2.27884e+11,2.72064e+09
113,Sun,122.122,0.896757
113,Earth,1.49561e+11,3.39463e+09
113,Mars,2.27883e+11,2.74471e+09
114,Sun,124.264,0.920564
114,Earth,1.4956e+11,3.4244e+09
114,Mars,2.27883e+11,2.76879e+09
115,Sun,126.425,0.944789
115,Earth,1.4956e+11,3.45417e+09
115,Mars,2.27883e+11,2.79286e+09
116,Sun,128.605,0.969436
116,Earth,1.49559e+11,3.48394e+09
116,Mars,2.27882e+11,2.81694e+09
117,Sun,130.803,0.994507
117,Earth,1.49558e+11,3.51372e+09
117,Mars,2.27882e+11,2.84101e+09
118,Sun,133.02,1.02001
118,Earth,1.49558e+11,3.54349e+09
118,Mars,2.27882e+11,2.86509e+09
119,Sun,135.256,1.04594
119,Earth,1.49557e+11,3.57326e+09
119,Mars,2.27881e+11,2.88916e+09
120,Sun,137.51,1.07231
120,Earth,1.49556e+11,3.60303e+09
120,Mars,2.27881e+11,2.91324e+09
121,Sun,139.783,1.09911
121,Earth,1.49555e+11,3.6328e+09
121,Mars,2.27881e+11,2.93731e+09
122,Sun,142.074,1.12636
122,Earth,1.49555e+11,3.66257e+09
122,Mars,2.27881e+11,2.96139e+09
123,Sun,144.384,1.15406
123,Earth,1.49554e+11,3.69234e+09
123,Mars,2.2788e+11,2.98546e+09
124,Sun,146.713,1.18221
124,Earth,1.49553e+11,3.72212e+09
124,Mars,2.2788e+11,3.00954e+09
125,Sun,149.06,1.21081
125,Earth,1.49553e+11,3.75189e+09
125,Mars,2.2788e+11,3.03361e+09
126,Sun,151.426,1.23987
126,Earth,1.49552e+11,3.78166e+09
126,Mars,2.27879e+11,3.05769e+09
127,Sun,153.81,1.26939
127,Earth,1.49551e+11,3.81143e+09
127,Mars,2.27879e+11,3.08176e+09
128,Sun,156.214,1.29937
128,Earth,1.4955e+11,3.8412e+09
128,Mars,2.27879e+11,3.10584e+09
129,Sun,158.635,1.32983
129,Earth,1.49549e+11,3.87097e+09
129,Mars,2.27878e+11,3.12991e+09
130,Sun,161.076,1.36075
130,Earth,1.49549e+11,3.90074e+09
130,Mars,2.27878e+11,3.15399e+09
131,Sun,163.535,1.39215
131,Earth,1.49548e+11,3.93051e+09
131,Mars,2.27878e+11,3.17806e+09
132,Sun,166.012,1.42403
132,Earth,1.49547e+11,3.96028e+09
132,Mars,2.27877e+11,3.20214e+09
133,Sun,168.509,1.4564
133,Earth,1.49546e+11,3.99005e+09
133,Mars,2.27877e+11,3.22621e+09
134,Sun,171.024,1.48925
134,Earth,1.49546e+11,4.01982e+09
134,Mars,2.27877e+11,3.25028e+09
135,Sun,173.557,1.52259
135,Earth,1.49545e+11,4.04959e+09
135,Mars,2.27876e+11,3.27436e+09
136,Sun,176.109,1.55642
136,Earth,1.49544e+11,4.07935e+09
136,Mars,2.27876e+11,3.29843e+09
137,Sun,178.68,1.59075
137,Earth,1.49543e+11,4.10912e+09
137,Mars,2.27875e+11,3.32251e+09
138,Sun,181.27,1.62559
138,Earth,1.49542e+11,4.13889e+09
138,Mars,2.27875e+11,3.34658e+09
139,Sun,183.878,1.66093
139,Earth,1.49541e+11,4.16866e+09
139,Mars,2.27875e+11,3.37066e+09
140,Sun,186.504,1.69677
140,Earth,1.49541e+11,4.19843e+09
140,Mars,2.27874e+11,3.39473e+09
141,Sun,189.15,1.73313
141,Earth,1.4954e+11,4.2282e+09
141,Mars,2.27874e+11,3.41881e+09
142,Sun,191.813,1.77001
142,Earth,1.49539e+11,4.25796e+09
142,Mars,2.27874e+11,3.44288e+09
143,Sun,194.496,1.8074
143,Earth,1.49538e+11,4.28773e+09
143,Mars,2.27873e+11,3.46695e+09
144,Sun,197.197,1.84532
144,Earth,1.49537e+11,4.3175e+09
144,Mars,2.27873e+11,3.49103e+09
145,Sun,199.917,1.88376
145,Earth,1.49536e+11,4.34727e+09
145,Mars,2.27873e+11,3.5151e+09
146,Sun,202.655,1.92273
146,Earth,1.49535e+11,4.37703e+09
146,Mars,2.27872e+11,3.53918e+09
147,Sun,205.412,1.96224
147,Earth,1.49535e+11,4.4068e+09
147,Mars,2.27872e+11,3.56325e+09
148,Sun,208.188,2.00228
148,Earth,1.49534e+11,4.43657e+09
148,Mars,2.27871e+11,3.58732e+09
149,Sun,210.982,2.04287
149,Earth,1.49533e+11,4.46634e+09
149,Mars,2.27871e+11,3.6114e+09
150,Sun,213.795,2.084
150,Earth,1.49532e+11,4.4961e+09
150,Mars,2.27871e+11,3.63547e+09
151,Sun,216.627,2.12568
151,Earth,1.49531e+11,4.52587e+09
151,Mars,2.2787e+11,3.65955e+09
152,Sun,219.477,2.16791
152,Earth,1.4953e+11,4.55564e+09
152,Mars,2.2787e+11,3.68362e+09
153,Sun,222.346,2.2107
153,Earth,1.49529e+11,4.5854e+09
153,Mars,2.27869e+11,3.70769e+09
154,Sun,225.233,2.25404
154,Earth,1.49528e+11,4.61517e+09
154,Mars,2.27869e+11,3.73177e+09
155,Sun,228.139,2.29795
155,Earth,1.49527e+11,4.64493e+09
155,Mars,2.27869e+11,3.75584e+09
156,Sun,231.064,2.34243
156,Earth,1.49526e+11,4.6747e+09
156,Mars,2.27868e+11,3.77991e+09
157,Sun,234.007,2.38747
157,Earth,1.49525e+11,4.70446e+09
157,Mars,2.27868e+11,3.80399e+09
158,Sun,236.969,2.43309
158,Earth,1.49525e+11,4.73423e+09
158,Mars,2.27867e+11,3.82806e+09
159,Sun,239.949,2.47929
159,Earth,1.49524e+11,4.76399e+09
159,Mars,2.27867e+11,3.85214e+09
160,Sun,242.948,2.52606
160,Earth,1.49523e+11,4.79376e+09
160,Mars,2.27867e+11,3.87621e+09
161,Sun,245.966,2.57343
161,Earth,1.49522e+11,4.82352e+09
161,Mars,2.27866e+11,3.90028e+09
162,Sun,249.002,2.62138
162,Earth,1.49521e+11,4.85329e+09
162,Mars,2.27866e+11,3.92436e+09
163,Sun,252.057,2.66992
163,Earth,1.4952e+11,4.88305e+09
163,Mars,2.27865e+11,3.94843e+09
164,Sun,255.131,2.71906
164,Earth,1.49519e+11,4.91282e+09
164,Mars,2.27865e+11,3.9725e+09
165,Sun,258.223,2.76879
165,Earth,1.49518e+11,4.94258e+09
165,Mars,2.27865e+11,3.99658e+09
166,Sun,261.334,2.81913
166,Earth,1.49517e+11,4.97234e+09
166,Mars,2.27864e+11,4.02065e+09
167,Sun,264.464,2.87008
167,Earth,1.49516e+11,5.00211e+09
167,Mars,2.27864e+11,4.04472e+09
168,Sun,267.612,2.92164
168,Earth,1.49515e+11,5.03187e+09
168,Mars,2.27863e+11,4.0688e+09
169,Sun,270.778,2.97381
169,Earth,1.49514e+11,5.06163e+09
169,Mars,2.27863e+11,4.09287e+09
170,Sun,273.964,3.02659
170,Earth,1.49513e+11,5.0914e+09
170,Mars,2.27862e+11,4.11694e+09
171,Sun,277.168,3.08
171,Earth,1.49512e+11,5.12116e+09
171,Mars,2.27862e+11,4.14102e+09
172,Sun,280.39,3.13404
172,Earth,1.49511e+11,5.15092e+09
172,Mars,2.27862e+11,4.16509e+09
173,Sun,283.631,3.1887
173,Earth,1.4951e+11,5.18068e+09
173,Mars,2.27861e+11,4.18916e+09
174,Sun,286.891,3.24399
174,Earth,1.49509e+11,5.21045e+09
174,Mars,2.27861e+11,4.21323e+09
175,Sun,290.17,3.29992
175,Earth,1.49508e+11,5.24021e+09
175,Mars,2.2786e+11,4.23731e+09
176,Sun,293.467,3.35649
176,Earth,1.49507e+11,5.26997e+09
176,Mars,2.2786e+11,4.26138e+09
177,Sun,296.782,3.4137
177,Earth,1.49506e+11,5.29973e+09
177,Mars,2.27859e+11,4.28545e+09
178,Sun,300.117,3.47155
178,Earth,1.49504e+11,5.32949e+09
178,Mars,2.27859e+11,4.30952e+09
179,Sun,303.47,3.53006
179,Earth,1.49503e+11,5.35925e+09
179,Mars,2.27858e+11,4.3336e+09
180,Sun,306.841,3.58922
180,Earth,1.49502e+11,5.38901e+09
180,Mars,2.27858e+11,4.35767e+09
181,Sun,310.231,3.64904
181,Earth,1.49501e+11,5.41877e+09
181,Mars,2.27857e+11,4.38174e+09
182,Sun,313.64,3.70952
182,Earth,1.495e+11,5.44853e+09
182,Mars,2.27857e+11,4.40582e+09
183,Sun,317.068,3.77066
183,Earth,1.49499e+11,5.47829e+09
183,Mars,2.27856e+11,4.42989e+09
184,Sun,320.514,3.83247
184,Earth,1.49498e+11,5.50805e+09
184,Mars,2.27856e+11,4.45396e+09
185,Sun,323.978,3.89496
185,Earth,1.49497e+11,5.53781e+09
185,Mars,2.27856e+11,4.47803e+09
186,Sun,327.461,3.95812
186,Earth,1.49496e+11,5.56757e+09
186,Mars,2.27855e+11,4.5021e+09
187,Sun,330.963,4.02195
187,Earth,1.49495e+11,5.59733e+09
187,Mars,2.27855e+11,4.52618e+09
188,Sun,334.484,4.08647
188,Earth,1.49494e+11,5.62709e+09
188,Mars,2.27854e+11,4.55025e+09
189,Sun,338.023,4.15168
189,Earth,1.49492e+11,5.65685e+09
189,Mars,2.27854e+11,4.57432e+09
190,Sun,341.581,4.21758
190,Earth,1.49491e+11,5.68661e+09
190,Mars,2.27853e+11,4.59839e+09
191,Sun,345.157,4.28417
191,Earth,1.4949e+11,5.71637e+09
191,Mars,2.27853e+11,4.62247e+09
192,Sun,348.752,4.35145
192,Earth,1.49489e+11,5.74613e+09
192,Mars,2.27852e+11,4.64654e+09
193,Sun,352.366,4.41944
193,Earth,1.49488e+11,5.77588e+09
193,Mars,2.27852e+11,4.67061e+09
194,Sun,355.998,4.48814
194,Earth,1.49487e+11,5.80564e+09
194,Mars,2.27851e+11,4.69468e+09
195,Sun,359.649,4.55754
195,Earth,1.49485e+11,5.8354e+09
195,Mars,2.27851e+11,4.71875e+09
196,Sun,363.318,4.62765
196,Earth,1.49484e+11,5.86516e+09
196,Mars,2.2785e+11,4.74282e+09
197,Sun,367.006,4.69848
197,Earth,1.49483e+11,5.89491e+09
197,Mars,2.2785e+11,4.7669e+09
198,Sun,370.713,4.77002
198,Earth,1.49482e+11,5.92467e+09
198,Mars,2.27849e+11,4.79097e+09
199,Sun,374.438,4.84229
199,Earth,1.49481e+11,5.95443e+09
199,Mars,2.27849e+11,4.81504e+09
200,Sun,378.182,4.91529
200,Earth,1.4948e+11,5.98418e+09
200,Mars,2.27848e+11,4.83911e+09
201,Sun,381.944,4.98901
201,Earth,1.49478e+11,6.01394e+09
201,Mars,2.27848e+11,4.86318e+09
202,Sun,385.726,5.06347
202,Earth,1.49477e+11,6.04369e+09
202,Mars,2.27847e+11,4.88725e+09
203,Sun,389.525,5.13867
203,Earth,1.49476e+11,6.07345e+09
203,Mars,2.27847e+11,4.91133e+09
204,Sun,393.344,5.21461
204,Earth,1.49475e+11,6.1032e+09
204,Mars,2.27846e+11,4.9354e+09
205,Sun,397.181,5.29129
205,Earth,1.49474e+11,6.13296e+09
205,Mars,2.27846e+11,4.95947e+09
206,Sun,401.036,5.36872
206,Earth,1.49472e+11,6.16271e+09
206,Mars,2.27845e+11,4.98354e+09
207,Sun,404.91,5.4469
207,Earth,1.49471e+11,6.19247e+09
207,Mars,2.27844e+11,5.00761e+09
208,Sun,408.803,5.52584
208,Earth,1.4947e+11,6.22222e+09
208,Mars,2.27844e+11,5.03168e+09
209,Sun,412.715,5.60553
209,Earth,1.49469e+11,6.25198e+09
209,Mars,2.27843e+11,5.05575e+09
210,Sun,416.645,5.68599
210,Earth,1.49467e+11,6.28173e+09
210,Mars,2.27843e+11,5.07982e+09
211,Sun,420.593,5.76721
211,Earth,1.49466e+11,6.31149e+09
211,Mars,2.27842e+11,5.1039e+09
212,Sun,424.561,5.84921
212,Earth,1.49465e+11,6.34124e+09
212,Mars,2.27842e+11,5.12797e+09
213,Sun,428.547,5.93197
213,Earth,1.49464e+11,6.37099e+09
213,Mars,2.27841e+11,5.15204e+09
214,Sun,432.551,6.01552
214,Earth,1.49462e+11,6.40074e+09
214,Mars,2.27841e+11,5.17611e+09
215,Sun,436.574,6.09984
215,Earth,1.49461e+11,6.4305e+09
215,Mars,2.2784e+11,5.20018e+09
216,Sun,440.616,6.18495
216,Earth,1.4946e+11,6.46025e+09
216,Mars,2.2784e+11,5.22425e+09
217,Sun,444.676,6.27085
217,Earth,1.49458e+11,6.49e+09
217,Mars,2.27839e+11,5.24832e+09
218,Sun,448.755,6.35754
218,Earth,1.49457e+11,6.51975e+09
218,Mars,2.27838e+11,5.27239e+09
219,Sun,452.853,6.44502
219,Earth,1.49456e+11,6.5495e+09
219,Mars,2.27838e+11,5.29646e+09
220,Sun,456.969,6.5333
220,Earth,1.49455e+11,6.57926e+09
220,Mars,2.27837e+11,5.32053e+09
221,Sun,461.104,6.62239
221,Earth,1.49453e+11,6.60901e+09
221,Mars,2.27837e+11,5.3446e+09
222,Sun,465.258,6.71228
222,Earth,1.49452e+11,6.63876e+09
222,Mars,2.27836e+11,5.36867e+09
223,Sun,469.43,6.80298
223,Earth,1.49451e+11,6.66851e+09
223,Mars,2.27836e+11,5.39274e+09
224,Sun,473.62,6.89449
224,Earth,1.49449e+11,6.69826e+09
224,Mars,2.27835e+11,5.41681e+09
225,Sun,477.83,6.98682
225,Earth,1.49448e+11,6.72801e+09
225,Mars,2.27834e+11,5.44088e+09
226,Sun,482.057,7.07998
226,Earth,1.49447e+11,6.75776e+09
226,Mars,2.27834e+11,5.46495e+09
227,Sun,486.304,7.17395
227,Earth,1.49445e+11,6.78751e+09
227,Mars,2.27833e+11,5.48902e+09
228,Sun,490.569,7.26876
228,Earth,1.49444e+11,6.81726e+09
228,Mars,2.27833e+11,5.51309e+09
229,Sun,494.853,7.36439
229,Earth,1.49442e+11,6.84701e+09
229,Mars,2.27832e+11,5.53716e+09
230,Sun,499.155,7.46086
230,Earth,1.49441e+11,6.87675e+09
230,Mars,2.27832e+11,5.56123e+09
231,Sun,503.476,7.55817
231,Earth,1.4944e+11,6.9065e+09
231,Mars,2.27831e+11,5.5853e+09
232,Sun,507.816,7.65632
232,Earth,1.49438e+11,6.93625e+09
232,Mars,2.2783e+11,5.60937e+09
233,Sun,512.174,7.75532
233,Earth,1.49437e+11,6.966e+09
233,Mars,2.2783e+11,5.63344e+09
234,Sun,516.551,7.85517
234,Earth,1.49436e+11,6.99575e+09
